No.,CUSTOMER_GROUP,CusName,Model,PartNo,PartName,GROUP_NAME,Surface,BeatName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,OperName,01/2025_PCS,01/2025_Wgt,02/2025_PCS,02/2025_Wgt,03/2025_PCS,03/2025_Wgt,04/2025_PCS,04/2025_Wgt,05/2025_PCS,05/2025_Wgt,06/2025_PCS,06/2025_Wgt,07/2025_PCS,07/2025_Wgt,08/2025_PCS,08/2025_Wgt,09/2025_PCS,09/2025_Wgt,10/2025_PCS,10/2025_Wgt,11/2025_PCS,11/2025_Wgt,12/2025_PCS,12/2025_Wgt,Forecast Date,NoCol,ItemNo
372,YAMAHA,TSVN,BFM,,,STKM11A,P,Khong,12.7,0.0,2.0,280.5,B,,,100.0,15.0,150.0,22.0,300.0,44.0,50.0,7.0,100.0,15.0,50.0,7.0,50.0,7.0,100.0,15.0,50.0,7.0,50.0,7.0,,,2024-12-06,0,0.0
373,YAMAHA,TSVN,BFM,,,STKM11A,P,Khong,15.9,0.0,2.3,270.0,B,,,100.0,21.0,150.0,31.0,200.0,42.0,50.0,10.0,100.0,21.0,50.0,10.0,500.0,104.0,100.0,21.0,50.0,10.0,50.0,10.0,,,2024-12-06,0,0.0
374,YAMAHA,TSVN,BFM,,,STKMHT490,P,Co,38.1,0.0,1.8,390.0,B,,,100.0,63.0,150.0,94.0,200.0,126.0,50.0,31.0,100.0,63.0,50.0,31.0,50.0,31.0,100.0,63.0,50.0,31.0,50.0,31.0,,,2024-12-06,0,0.0
375,VINFAST,Vinfast,VF,5300008450 STKM11A_T2.0_ODØ22.2_L633,TUB00000058,STKM11A,P,Khong,22.2,0.0,2.0,633.0,B,9000.0,5674.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
376,VINFAST,Vinfast,VF,5300008450 STKM11A_T2.0_ODØ38.1_L1340,TUB00000054,STKM11A,P,Khong,38.1,0.0,2.0,1340.0,B,400.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
377,VINFAST,Vinfast,V5 CITY,,,STKM13A,P,Khong,34.0,0.0,2.0,640.0,B,5087.0,5137.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
378,VINFAST,Vinfast,V5 LITE,5300008450 TUB_STKM13A_T2_ODØ34_L735,TUB00000053,STKM13A,P,Khong,34.0,0.0,2.0,735.0,B,7389.0,8570.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
379,VINFAST,Vinfast,V5 CITY/V5 LITE,5300008450 TUB_STKM13A_T2_ODØ38.1_L1150,TUB00000047,STKM13A,P,Khong,38.1,0.0,2.0,1150.0,B,8200.0,16785.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
380,VINFAST,Vinfast,VF,5300008450 TUB_STKM11A_40x20_L200_T2.3,TUB00000010,STKMRR290,P,Khong,40.0,20.0,2.3,200.0,B,3000.0,1219.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
381,VINFAST,Vinfast,VF,5300008450 TUB_STKM11A_40x20_L426_T2.3,TUB00000017,STKMRR290,P,Khong,40.0,20.0,2.3,426.0,B,10000.0,8652.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
382,OTHER,VPIC1,HONDA JP,MT03S0001168T,,STAM290GA,P,Co,25.4,0.0,2.3,5500.0,P/E,50.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
383,HONDA,VPIC1,K1BF-HII/K40H-HII,MT03S0001870T,,STAM390G,C,Khong,17.3,0.0,1.2,5400.0,P/E,651.0,1673.0,420.0,1080.0,460.0,1182.0,450.0,1157.0,460.0,1182.0,70.0,180.0,470.0,1208.0,470.0,1208.0,660.0,1696.0,180.0,463.0,230.0,591.0,,,2024-12-18,0,0.0
384,HONDA,VPIC1,K1BF-HII/K40H-HII,MT03S0001871T,,STAM390G,C,Khong,17.3,0.0,1.2,5600.0,P/E,217.0,578.0,100.0,267.0,110.0,293.0,107.0,285.0,110.0,293.0,17.0,45.0,112.0,299.0,112.0,299.0,157.0,418.0,43.0,115.0,55.0,147.0,,,2024-12-18,0,0.0
385,HONDA,VPIC1,K1YA/K1ZA,MT03S0000802T,,STAM390G,P,Khong,17.3,0.0,1.4,5300.0,P/E,651.0,1894.0,591.0,1720.0,863.0,2511.0,729.0,2121.0,465.0,1353.0,486.0,1414.0,399.0,1161.0,396.0,1152.0,358.0,1042.0,393.0,1144.0,438.0,1274.0,,,2024-12-18,0,0.0
386,HONDA,VPIC1,K1BF-HII/K40H-HII,MT03S0001872T,,STAM390G,C,Khong,19.1,0.0,1.2,5200.0,P/E,813.0,2241.0,525.0,1447.0,575.0,1585.0,563.0,1552.0,575.0,1585.0,88.0,243.0,588.0,1621.0,588.0,1621.0,825.0,2274.0,225.0,620.0,288.0,794.0,,,2024-12-18,0,0.0
387,HONDA,VPIC1,,MT03S0000829T,,STAM390G,P,Khong,19.1,0.0,1.6,5600.0,P/E,50.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
388,OTHER,VPIC1,,MT03S0000831T,,STAM390G,P,Khong,19.1,0.0,2.0,5000.0,P/E,217.0,915.0,249.0,1050.0,270.0,1138.0,294.0,1239.0,117.0,493.0,194.0,818.0,184.0,776.0,228.0,961.0,315.0,1328.0,113.0,476.0,75.0,316.0,,,2024-12-18,0,0.0
389,OTHER,VPIC1,PIAGIO VN,MT03S0000834T,,STAM390G,P,Khong,19.1,0.0,2.0,5300.0,P/E,,,209.0,934.0,245.0,1095.0,266.0,1188.0,214.0,956.0,225.0,1005.0,227.0,1014.0,211.0,943.0,156.0,697.0,42.0,188.0,,,,,2024-12-18,0,0.0
390,OTHER,VPIC1,K1WA-HII,MT03S0000835T,,STAM390G,P,Khong,19.1,0.0,2.0,5600.0,P/E,217.0,1024.0,241.0,1138.0,272.0,1284.0,303.0,1430.0,298.0,1407.0,200.0,944.0,247.0,1166.0,244.0,1152.0,241.0,1138.0,139.0,656.0,77.0,364.0,,,2024-12-18,0,0.0
391,HONDA,VPIC1,GJRF,MT03S0002629T,,STAM390G,P,Co,22.2,0.0,2.0,5200.0,P/E,60.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
392,HONDA,VPIC1,K1WF,MT03S0000897T,,STAM390G,P,Khong,22.2,0.0,2.0,5600.0,P/E,169.0,943.0,79.0,441.0,83.0,463.0,93.0,519.0,103.0,574.0,28.0,156.0,93.0,519.0,58.0,324.0,97.0,541.0,113.0,630.0,83.0,463.0,,,2024-12-18,0,0.0
393,HONDA,VPIC1,K2PJ,MT03S0000906T,,STAM390G,P,Khong,22.2,0.0,2.3,5500.0,P/E,169.0,1049.0,186.0,1155.0,150.0,931.0,192.0,1192.0,155.0,962.0,75.0,466.0,150.0,931.0,50.0,310.0,393.0,2440.0,300.0,1863.0,365.0,2266.0,,,2024-12-18,0,0.0
394,HONDA,VPIC1,K1YA/K1ZA,MT03S0000910T,,STAM390G,P,Khong,22.2,0.0,2.9,5800.0,P/E,508.0,4066.0,476.0,3810.0,696.0,5571.0,588.0,4706.0,375.0,3002.0,392.0,3138.0,322.0,2577.0,320.0,2561.0,289.0,2313.0,317.0,2537.0,353.0,2825.0,,,2024-12-18,0,0.0
395,HONDA,VPIC1,K1WF,B162542005200,,STAM390G,P,Khong,25.4,0.0,2.0,5200.0,P/E,100.0,600.0,33.0,198.0,44.0,264.0,44.0,264.0,56.0,336.0,44.0,264.0,56.0,336.0,44.0,264.0,67.0,402.0,56.0,336.0,56.0,336.0,,,2024-12-18,0,0.0
396,HONDA,VPIC1,K1NA/K1NF,MT03S0000932T,,STAM390G,P,Co,25.4,0.0,2.6,5100.0,P/E,381.0,2841.0,229.0,1707.0,192.0,1432.0,255.0,1901.0,230.0,1715.0,241.0,1797.0,275.0,2050.0,258.0,1924.0,288.0,2147.0,327.0,2438.0,278.0,2073.0,,,2024-12-18,0,0.0
397,HONDA,VPIC1,K1NA/K1NF,MT03S0000937T,,STAM390G,P,Co,25.4,0.0,3.2,5100.0,P/E,455.0,4066.0,529.0,4727.0,444.0,3967.0,588.0,5254.0,530.0,4736.0,556.0,4968.0,636.0,5683.0,597.0,5334.0,665.0,5942.0,756.0,6755.0,643.0,5745.0,,,2024-12-18,0,0.0
398,OTHER,VPIC1,PIAGIO VN,MT03S0000954T,,STAM390G,P,Khong,28.6,0.0,2.0,5200.0,P/E,,,549.0,3745.0,645.0,4400.0,701.0,4783.0,563.0,3841.0,593.0,4046.0,596.0,4066.0,554.0,3780.0,410.0,2797.0,111.0,757.0,,,,,2024-12-18,0,0.0
399,HONDA,VPIC1,K1WF,B163812605000,,STAM390G,P,Khong,38.1,0.0,2.6,5000.0,P/E,,,18.0,205.0,24.0,273.0,24.0,273.0,29.0,330.0,24.0,273.0,29.0,330.0,24.0,273.0,35.0,398.0,29.0,330.0,29.0,330.0,,,2024-12-18,0,0.0
400,HONDA,VPIC1,,MT03S0001022T,,STAM390G,P,Co,42.7,0.0,2.0,748.5,B,,,88.0,132.0,,,,,,,,,,,,,,,,,,,,,2024-12-18,0,0.0
401,VINFAST,VPIC1,,MT03S0001026T,,STAM390G,P,Co,42.7,0.0,2.0,5700.0,P/E,600.0,6864.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
402,HONDA,VPIC1,,MT03S0001056T,,STAM390G,P,Co,48.6,0.0,3.5,5400.0,P/E,264.0,5550.0,248.0,5214.0,274.0,5760.0,248.0,5214.0,287.0,6033.0,39.0,820.0,265.0,5571.0,100.0,2102.0,96.0,2018.0,326.0,6853.0,409.0,8598.0,,,2024-12-18,0,0.0
403,HONDA,VPIC1,,MT03S0001077T,,STAM390G,P,Khong,54.0,0.0,3.2,203.0,A,,,44.0,36.0,,,,,,,,,,,,,,,,,,,,,2024-12-18,0,0.0
404,OTHER,VPIC1,HARLEY DAVIDSON,MT03S0002634T,,STKM13A,P,Khong,19.1,0.0,2.4,4000.0,P/E,120.0,474.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
405,OTHER,VPIC1,HARLEY DAVIDSON,MT03S0002635T,,STKM13A,P,Khong,19.1,0.0,2.4,5000.0,P/E,60.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
406,TOTAL,,,,,,,,0.0,0.0,0.0,0.0,,740694.0,864648.0,897094.0,948106.0,956999.0,926465.0,897209.0,952625.0,841359.0,872752.0,283888.0,613369.0,293702.0,643757.0,274379.0,596171.0,291359.0,659576.0,288096.0,648475.0,195667.0,443493.0,5669.0,14510.0,,1,
